# lon lat thick
4.267399999999999949e+01 -7.881000000000000227e+01 1.510000000000000000e+02
4.250200000000000244e+01 -7.879999999999999716e+01 1.520000000000000000e+02
4.233200000000000074e+01 -7.878799999999999670e+01 1.530000000000000000e+02
4.216499999999999915e+01 -7.877599999999999625e+01 1.540000000000000000e+02
4.200099999999999767e+01 -7.876200000000000045e+01 1.550000000000000000e+02
4.184000000000000341e+01 -7.874599999999999511e+01 1.560000000000000000e+02
4.168200000000000216e+01 -7.873000000000000398e+01 1.570000000000000000e+02
4.152799999999999869e+01 -7.871200000000000330e+01 1.580000000000000000e+02
4.137700000000000244e+01 -7.869400000000000261e+01 1.590000000000000000e+02
4.123100000000000165e+01 -7.867400000000000659e+01 1.590000000000000000e+02
4.108800000000000097e+01 -7.865300000000000580e+01 1.600000000000000000e+02
4.095000000000000284e+01 -7.863100000000000023e+01 1.600000000000000000e+02
4.081600000000000250e+01 -7.860899999999999466e+01 1.610000000000000000e+02
4.068699999999999761e+01 -7.858499999999999375e+01 1.620000000000000000e+02
4.056300000000000239e+01 -7.856000000000000227e+01 1.630000000000000000e+02
4.044299999999999784e+01 -7.853400000000000603e+01 1.670000000000000000e+02
4.032900000000000063e+01 -7.850799999999999557e+01 1.680000000000000000e+02
4.021999999999999886e+01 -7.848099999999999454e+01 1.680000000000000000e+02
4.011599999999999966e+01 -7.845300000000000296e+01 1.690000000000000000e+02
4.001800000000000068e+01 -7.842400000000000659e+01 1.700000000000000000e+02
3.992499999999999716e+01 -7.839400000000000546e+01 1.710000000000000000e+02
3.983800000000000097e+01 -7.836400000000000432e+01 1.730000000000000000e+02
3.975699999999999790e+01 -7.833299999999999841e+01 1.740000000000000000e+02
3.968099999999999739e+01 -7.830200000000000671e+01 1.750000000000000000e+02
3.961099999999999710e+01 -7.826999999999999602e+01 1.760000000000000000e+02
3.954800000000000182e+01 -7.823799999999999955e+01 1.760000000000000000e+02
3.949000000000000199e+01 -7.820499999999999829e+01 1.770000000000000000e+02
3.943800000000000239e+01 -7.817100000000000648e+01 1.780000000000000000e+02
3.939099999999999824e+01 -7.813800000000000523e+01 1.790000000000000000e+02
3.935099999999999909e+01 -7.810399999999999920e+01 1.800000000000000000e+02
3.931700000000000017e+01 -7.806999999999999318e+01 1.810000000000000000e+02
3.928900000000000148e+01 -7.803499999999999659e+01 1.790000000000000000e+02
3.926700000000000301e+01 -7.800100000000000477e+01 1.790000000000000000e+02
3.925099999999999767e+01 -7.796599999999999397e+01 1.800000000000000000e+02
3.924000000000000199e+01 -7.793099999999999739e+01 1.800000000000000000e+02
3.923599999999999710e+01 -7.789600000000000080e+01 1.810000000000000000e+02
3.923700000000000188e+01 -7.786100000000000421e+01 1.810000000000000000e+02
3.924399999999999977e+01 -7.782699999999999818e+01 1.820000000000000000e+02
3.925699999999999790e+01 -7.779200000000000159e+01 1.820000000000000000e+02
3.927600000000000335e+01 -7.775700000000000500e+01 1.830000000000000000e+02
3.929999999999999716e+01 -7.772299999999999898e+01 1.830000000000000000e+02
3.932900000000000063e+01 -7.768800000000000239e+01 1.840000000000000000e+02
3.936399999999999721e+01 -7.765399999999999636e+01 1.840000000000000000e+02
3.940400000000000347e+01 -7.762000000000000455e+01 1.840000000000000000e+02
3.945000000000000284e+01 -7.758700000000000330e+01 1.850000000000000000e+02
3.950099999999999767e+01 -7.755400000000000205e+01 1.850000000000000000e+02
3.955700000000000216e+01 -7.752100000000000080e+01 1.860000000000000000e+02
3.961699999999999733e+01 -7.748799999999999955e+01 1.860000000000000000e+02
3.968299999999999983e+01 -7.745699999999999363e+01 1.870000000000000000e+02
3.975300000000000011e+01 -7.742499999999999716e+01 1.870000000000000000e+02
3.982800000000000296e+01 -7.739400000000000546e+01 1.880000000000000000e+02
3.990800000000000125e+01 -7.736400000000000432e+01 1.880000000000000000e+02
3.999199999999999733e+01 -7.733400000000000318e+01 1.880000000000000000e+02
4.007999999999999829e+01 -7.730500000000000682e+01 1.890000000000000000e+02
4.017199999999999704e+01 -7.727700000000000102e+01 1.890000000000000000e+02
4.026800000000000068e+01 -7.724899999999999523e+01 1.890000000000000000e+02
4.036899999999999977e+01 -7.722199999999999420e+01 1.900000000000000000e+02
4.047299999999999898e+01 -7.719599999999999795e+01 1.900000000000000000e+02
4.057999999999999829e+01 -7.717100000000000648e+01 1.900000000000000000e+02
4.069200000000000017e+01 -7.714600000000000080e+01 1.910000000000000000e+02
4.080599999999999739e+01 -7.712199999999999989e+01 1.910000000000000000e+02
4.092399999999999949e+01 -7.709900000000000375e+01 1.910000000000000000e+02
4.104500000000000171e+01 -7.707699999999999818e+01 1.920000000000000000e+02
4.116899999999999693e+01 -7.705599999999999739e+01 1.920000000000000000e+02
4.129599999999999937e+01 -7.703600000000000136e+01 1.920000000000000000e+02
4.142499999999999716e+01 -7.701600000000000534e+01 1.930000000000000000e+02
